15 3
0.000488868   -0.445393 -0.00307689
  0.0055941    0.130922  -0.0251951
  -0.103808    -0.45544  0.00318388
    0.10478   -0.436001 -0.00946845
5.82369e-07    0.289632    0.116868
  -0.157585    0.130455  -0.0256311
   0.168773    0.131388  -0.0247591
  -0.107429   -0.851829  -0.0183414
   0.124541   -0.858251  -0.0174598
  -0.447876    0.042134  -0.0516878
   0.439164   0.0129227  -0.0637898
 -0.0902739    -1.28674   -0.058279
  0.0789466    -1.27954  -0.0586063
  -0.711255   0.0421627    -0.06351
   0.710768   0.0385358  -0.0644381
