19 3
0.00183223 -0.43331 0.00606559 
-0.000109631 0.0982407 -0.0308884 
-0.102378 -0.431864 0.00878853 
0.114522 -0.427609 0.0392095 
0.0277078 0.424427 0.130283 
-0.132137 0.0988284 -0.0190713 
0.136997 0.105861 -0.00728154 
-0.100214 -0.832065 0.00334966 
0.120221 -0.837412 0.00594178 
-0.0134172 0.2977 0.0420266 
0.0377409 0.344068 0.00752229 
-0.40523 0.0637652 -0.0416236 
0.39926 0.0389922 -0.0471513 
-0.108066 -1.23202 -0.0363752 
0.0867188 -1.22765 -0.0468415 
-0.637477 0.0551645 -0.0551031 
0.636865 0.0453924 -0.0526092 
0.111888 -1.27679 0.0800969 
-0.124644 -1.28482 0.0851573 
